,name,date_creation,address,address_number,neighborhood,district,zip_code,town,coord_lat,coord_lon,phone,schedule,enum
52,Mercat Sant Andreu,1985-01-17,Plaça del Mercadal,41,Sant Andreu,Sant Andreu,60,Barcelona,41.43489312913732,2.1883934902332927,934132342,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sant-andreu,Mercats municipals
53,Mercat Ciutat Meridiana,1985-01-17,Carrer de Costabona,4,Ciutat Meridiana,Nou Barris,55,Barcelona,41.46171736162205,2.17781157944736,934132336,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-ciutat-meridiana,Mercats municipals
54,Mercat Guinardó,1985-01-17,C Teodor Llorente,10,el Guinardó,Horta-Guinardó,35,Barcelona,41.41915185087623,2.179721442393662,934132332,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-guinardo,Mercats municipals
55,Mercat Guineueta,1985-01-17,Passeig de Valldaura,186,la Guineueta,Nou Barris,48,Barcelona,41.43865254771624,2.170245672758619,934132338,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-guineueta,Mercats municipals
56,Mercat Fort Pienc,2003-12-03,Pl Fort Pienc,3,el Fort Pienc,Eixample,5,Barcelona,41.39577357186832,2.182541089615223,934132316,https://mercatdefortpienc.com/,Mercats municipals
57,Mercat Barceloneta,1984-12-28,Plaça del Poeta Boscà,1,la Barceloneta,Ciutat Vella,3,Barcelona,41.38024616800817,2.18928120267198,934132304,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-barceloneta,Mercats municipals
58,Mercat Ninot,1984-12-28,Carrer de Mallorca,133,l'Antiga Esquerra de l'Eixample,Eixample,8,Barcelona,41.38785716567697,2.1544122344047523,934132322,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-ninot,Mercats municipals
59,Mercat Sant Martí,1985-01-17,Carrer de Puigcerdà,206,la Verneda i la Pau,Sant Martí,73,Barcelona,41.41865648109575,2.2053227925569847,934132297,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sant-marti,Mercats municipals
60,Mercat Besòs,1985-01-17,C Jaume Huguet,38,el Besòs i el Maresme,Sant Martí,70,Barcelona,41.419232167534055,2.2151291359475485,934132305,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-besos,Mercats municipals
61,Mercat Canyelles,1987-03-26,Carrer d'Antonio Machado,10,Canyelles,Nou Barris,49,Barcelona,41.44198819289088,2.1644271206451906,934132324,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-canyelles,Mercats municipals
62,Mercat Sarrià,1984-12-28,Pg Reina Elisenda Montcada,8,Sarrià,Sarrià-Sant Gervasi,23,Barcelona,41.3998359320904,2.1207231796604997,934132326,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sarria,Mercats municipals
63,Mercat Abaceria Central,1984-12-28,Pg Sant Joan,181,el Camp d'en Grassot i Gràcia Nova,Gràcia,32,Barcelona,41.40318652868216,2.164179164252221,934132313,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-abaceria-central,Mercats municipals
64,Mercat Clot,1985-01-17,Pl Mercat,26,el Clot,Sant Martí,65,Barcelona,41.40761694241932,2.188644372365021,934132306,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-clot,Mercats municipals
65,Mercat Poblenou - Unió,1985-01-17,Pl Unió,25,el Poblenou,Sant Martí,68,Barcelona,41.40102174848232,2.205429196399153,934132309,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-poblenou,Mercats municipals
66,Mercat Provençals,1985-01-17,Carrer de Menorca,19,Sant Martí de Provençals,Sant Martí,72,Barcelona,41.41945750050879,2.1964853596577782,662002663,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-provencals,Mercats municipals
67,Mercat Tres Torres,1984-12-28,Carrer dels Vergós,2,les Tres Torres,Sarrià-Sant Gervasi,24,Barcelona,41.39994475791636,2.131280890433586,934132327,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-tres-torres,Mercats municipals
68,Mercat Sant Gervasi,1984-12-28,Pl Joaquim Folguera,6,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,25,Barcelona,41.40566335305059,2.138545571747631,934132325,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sant-gervasi,Mercats municipals
71,Mercat Concepció,1984-12-28,Carrer d'Aragó,311,la Dreta de l'Eixample,Eixample,7,Barcelona,41.39556815947775,2.169071648271845,934132314,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-concepcio,Mercats municipals
72,Mercat Sagrada Família,1984-12-28,Carrer de Padilla,255,la Sagrada Família,Eixample,6,Barcelona,41.40571844762519,2.177029420136341,934132324,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sagrada-familia,Mercats municipals
73,Mercat Sant Antoni,1990-06-25,Carrer del Comte d'Urgell,1,Sant Antoni,Eixample,10,Barcelona,41.37956821941282,2.161743115837759,934132300,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sant-antoni,Mercats municipals
74,Mercat Les Corts,1984-12-28,Travessera de les Corts,215,les Corts,Les Corts,19,Barcelona,41.38407806063042,2.1298048647400445,667570336,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-les-corts,Mercats municipals
75,Mercat Galvany,1984-12-28,Carrer de Santaló,65,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,26,Barcelona,41.39668239144885,2.143678943368952,934132317,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-galvany,Mercats municipals
76,Mercat Llibertat,1985-01-17,Plaça de la Llibertat,27,la Vila de Gràcia,Gràcia,31,Barcelona,41.399737848805614,2.1537484882528983,933687946,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-llibertat,Mercats municipals
77,Mercat Carmel,1985-01-17,C Llobregós,149,el Carmel,Horta-Guinardó,37,Barcelona,41.42374046652592,2.1558097621188934,934132335,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-carmel,Mercats municipals
78,Mercat Trinitat,1985-01-17,Carrer de la Pedrosa,21,la Trinitat Nova,Nou Barris,53,Barcelona,41.44869202746852,2.1842333444483297,934132343,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-trinitat,Mercats municipals
79,Mercat Felip II,1985-01-17,Carrer de Felip II,118,la Sagrera,Sant Andreu,61,Barcelona,41.42202611203265,2.1850927220559564,934132337,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-felip-ii,Mercats municipals
84,Mercat Núria,2022-07-12,Avinguda dels Rasos de Peguera,186,Ciutat Meridiana,Nou Barris,55,Barcelona,41.45995202920537,2.1726367468768304,934132890,https://ajuntament.barcelona.cat/mercats/es/,Mercats municipals
85,Mercat Estrella,1985-01-17,Carrer de Pi i Margall,73,el Camp d'en Grassot i Gràcia Nova,Gràcia,32,Barcelona,41.40991109490562,2.1639930826470137,934132315,https://ajuntament.barcelona.cat/mercats/es/,Mercats municipals
86,Mercat Vall d'Hebron -Taxonera,1985-01-17,Pg Vall d'Hebron,130,la Teixonera,Horta-Guinardó,38,Barcelona,41.42406217314219,2.142452280248374,934132344,,Mercats municipals
87,Mercat Horta,1985-01-17,Carrer de Lisboa,34,Horta,Horta-Guinardó,43,Barcelona,41.42921857676913,2.1573096628601407,934204858,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-horta,Mercats municipals
88,Mercat Mercè,1985-01-17,Passeig de Fabra i Puig,270,el Turó de la Peira,Nou Barris,46,Barcelona,41.43048313492197,2.1735994954221325,934132340,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-merce,Mercats municipals
89,Mercat Bon Pastor,1985-01-17,C Sant Adrià,154,el Bon Pastor,Sant Andreu,59,Barcelona,41.43601348746426,2.206172152917636,934132333,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-bon-pastor,Mercats municipals
90,Mercat Lesseps,1984-12-28,Carrer de Verdi,200,la Salut,Gràcia,30,Barcelona,41.40913237323212,2.1520583716061497,934132319,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-lesseps,Mercats municipals
93,Mercat Montserrat,1985-01-17,Via Favència,241,les Roquetes,Nou Barris,50,Barcelona,41.446325072623445,2.1787888337114434,934132341,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-montserrat,Mercats municipals
